name,career,official_role_verbatim,official_first_segment,career_equals_any_segment,list,rsi_url
C8 Pisces,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8-Pisces
C8R Pisces Rescue,Support,,,,NO ROLES ROW - not joined,
C8X Pisces Expedition,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-pisces/C8X-Pisces-Expedition
CSV-FM,,,,,NO ROLES ROW - not joined,
CSV-SM,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/csv/CSV-SM
Carrack,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/carrack/Carrack
Carrack Expedition,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/carrack/Carrack-Expedition
Caterpillar,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-caterpillar/Caterpillar
Centurion,Combat,Combat / Anti-Air,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/centurion/Centurion
Clipper,Exploration,Exploration / Generalist,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/clipper/Clipper
Constellation Andromeda,Multi-Role,Multi-Role / Medium Freight / Gun Ship,Multi-Role,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Andromeda
Constellation Aquila,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Aquila
Constellation Phoenix,Exploration,Exploration / Luxury Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix
Constellation Phoenix Emerald,Exploration,Exploration / Luxury Touring,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Phoenix-Emerald
Constellation Taurus,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-constellation/Constellation-Taurus
Corsair,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-corsair/Corsair
Crucible,,Support / Heavy Repair,Support,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/crucible/Crucible
Cutlass Black,Multi-Role,Multi-Role / Light Freight / Medium Fighter,Multi-Role,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Black
Cutlass Blue,Combat,Combat / Interdiction,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Blue
Cutlass Red,Support,Support / Medical,Support,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Red
Cutlass Steel,Combat,Combat / Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/drake-cutlass/Cutlass-Steel
Cutter,Exploration,Exploration / Starter / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cutter/Cutter
Cutter Rambler,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cutter/Cutter-Rambler
Cutter Scout,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cutter/Cutter-Scout
Cyclone,Combat,Combat / Passenger,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone
Cyclone AA,Combat,Combat / Anti-Air,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-AA
Cyclone MT,Combat,Combat / Anti-Air,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-MT
Cyclone RC,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-RC
Cyclone RN,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-RN
Cyclone TR,Combat,Combat / Anti-Vehicle,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/cyclone/Cyclone-TR
Defender,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/defender/Defender
Dragonfly,Competition,,,,NO ROLES ROW - not joined,
E1 Spirit,,Transporter / Passenger,Transporter,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/spirit/E1-Spirit
Eclipse,Combat,Combat / Stealth Bomber,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/eclipse/Eclipse
Endeavor,,Industrial / Heavy Science,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/misc-endeavor/Endeavor
Expanse,,Industrial / Refinery,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/expanse/Expanse
F7A Hornet Mk I,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7A-Hornet-Mk-I
F7A Hornet Mk II,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet-mkii/F7A-Hornet-Mk-II
F7C Hornet Mk I,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet-Mk-I
F7C Hornet Mk II,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet-mkii/F7C-Hornet-Mk-II
F7C Hornet Wildfire Mk I,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-Hornet-Wildfire-Mk-I
F7C-M Hornet Heartseeker Mk II,Combat,,,,NO ROLES ROW - not joined,
F7C-M Super Hornet Heartseeker Mk I,,Combat / Medium Fighter,Combat,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet-Heartseeker-Mk-I
F7C-M Super Hornet Mk I,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-M-Super-Hornet-Mk-I
F7C-M Super Hornet Mk II,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet-mkii/F7C-M-Super-Hornet-Mk-II
F7C-R Hornet Tracker Mk I,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-R-Hornet-Tracker-Mk-I
F7C-R Hornet Tracker Mk II,Combat,Combat / Pathfinder,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet-mkii/F7C-R-Hornet-Tracker-Mk-II
F7C-S Hornet Ghost Mk I,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet/F7C-S-Hornet-Ghost-Mk-I
F7C-S Hornet Ghost Mk II,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-hornet-mkii/F7C-S-Hornet-Ghost-Mk-II
F8C Lightning,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/lightning/F8C-Lightning
F8C Lightning Executive Edition,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/lightning/F8C-Lightning-Executive-Edition
Fortune,Industrial,Industrial / Light Salvage,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/fortune/Fortune
Freelancer,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer
Freelancer DUR,Exploration,Exploration / Expedition,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-DUR
Freelancer MAX,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MAX
Freelancer MIS,Combat,Combat / Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-freelancer/Freelancer-MIS
Fury,Combat,Combat / Snub Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/fury/Fury
Fury LX,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/fury/Fury-LX
Fury MX,Combat,Combat / Snub Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/fury/Fury-MX
G12,,Ground / Touring,Ground,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/origin-g12/G12
G12a,,Ground / Military,Ground,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/origin-g12/G12a
G12r,,Competition / Racing,Competition,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/origin-g12/G12r
Galaxy,,Multi-role / Modular,Multi-role,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/galaxy/Galaxy
Genesis Starliner,,,,,NO ROLES ROW - not joined,
Gladiator,Combat,Combat / Bomber,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/anvil-gladiator/Gladiator
Gladius,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/gladius/Gladius
Gladius Dunlevy,Combat,,,,NO ROLES ROW - not joined,
Gladius Pirate,Combat,,,,NO ROLES ROW - not joined,
Gladius Valiant,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/gladius/Gladius-Valiant
Glaive,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/esperia-glaive/Glaive
Golem,Industrial,Industrial / Starter / Light Mining,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/golem/Golem
Golem OX,Industrial,Industrial / Light Freight,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/golem/Golem-OX
Guardian,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/guardian/Guardian
Guardian MX,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/guardian/Guardian-MX
Guardian QI,Combat,Combat / Interdiction,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/guardian/Guardian-QI
Hammerhead,Combat,Combat / Heavy Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hammerhead/Hammerhead
Hawk,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hawk/Hawk
Herald,Transporter,Transporter / Medium Data,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/herald/Herald
Hermes,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hermes/Hermes
HoverQuad,Exploration,Exploration / Passenger,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hoverquad/HoverQuad
Hull A,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hull/Hull-A
Hull B,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hull/Hull-B
Hull C,Transporter,Transporter / Heavy Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hull/Hull-C
Hull D,,Transport / Heavy Freight,Transport,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/hull/Hull-D
Hull E,,Transport / Heavy Freight,Transport,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/hull/Hull-E
Hurricane,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/hurricane/Hurricane
Idris-M,Combat,Combat / Frigate,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-idris/Idris-M
Idris-P,Combat,Combat / Frigate,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/aegis-idris/Idris-P
Intrepid,Starter,Starter / Starter / Light Freight,Starter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/intrepid/Intrepid
Ironclad,Transporter,Transporter / Heavy Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ironclad/Ironclad
Ironclad Assault,Combat,Combat / Heavy Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ironclad/Ironclad-Assault
Javelin,,Destroyer / Destroyer,Destroyer,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/aegis-javelin/Javelin
Khartu-al,Combat,,,,NO ROLES ROW - not joined,
Kraken,,Industrial / Multi-Role / Light Carrier,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/drake-kraken/Kraken
Kraken Privateer,,Industrial / Multi-Role / Light Carrier,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/drake-kraken/Kraken-Privateer
L-21 Wolf,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/wolf/L-21-Wolf
L-22 Alpha Wolf,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/wolf/L-22-Alpha-Wolf
Legionnaire,,Combat / Boarding,Combat,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/legionnaire/Legionnaire
Liberator,,Transport / Light Carrier,Transport,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/liberator/Liberator
Lynx,Transporter,Transporter / Luxury Touring,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ursa/Lynx
M2 Hercules Starlifter,Transporter,,,,NO ROLES ROW - not joined,
M50,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/origin-m50/M50
M80,Combat,Combat / Heavy Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/m80/M80
MDC,Ground,Ground / Anti-Air,Ground,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mdc/MDC
MOLE,Industrial,Industrial / Medium Mining,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/argo-mole/MOLE
MOTH,,Industrial / Medium Salvage,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/moth/MOTH
MPUV Cargo,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/argo/MPUV-Cargo
MPUV Personnel,Transporter,Transporter / Passenger,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/argo/MPUV-Personnel
MPUV Tractor,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/argo/MPUV-Tractor
MTC,Ground,Ground / Passenger,Ground,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mtc/MTC
Mantis,Combat,Combat / Interdiction,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-mantis/Mantis
Merchantman,,Transport / Heavy Freight,Transport,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/merchantman/Merchantman
Mercury Star Runner,Transporter,,,,NO ROLES ROW - not joined,
Meteor,Combat,Combat / Medium Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/rsi-meteor/Meteor
Mule,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mule/Mule
Mustang Alpha,Multi-Role,Multi-Role / Starter / Light Freight,Multi-Role,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Alpha
Mustang Alpha Vindicator,,Multi-Role / Starter / Light Freight,Multi-Role,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Alpha-Vindicator
Mustang Beta,Exploration,Exploration / Pathfinder,Exploration,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Beta
Mustang Delta,Combat,Combat / Light Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Delta
Mustang Gamma,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Gamma
Mustang Omega,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mustang/Mustang-Omega
Nautilus,,Combat / Minelayer,Combat,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/aegis-nautilus/Nautilus
Nomad,Transporter,Transporter / Starter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/nomad/Nomad
Nova Tank,Combat,,,,NO ROLES ROW - not joined,
Nox,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/nox/Nox
Odin,,Combat / Battlecruiser,Combat,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/odin/Odin
Odyssey,,Exploration / Expedition,Exploration,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/odyssey/Odyssey
Orion,,Industrial / Heavy Mining,Industrial,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/orion/Orion
P-52 Merlin,Combat,Combat / Snub Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/p52-merlin/P-52-Merlin
P-72 Archimedes,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/p72-archimedes/P-72-Archimedes
P-72 Archimedes Emerald,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/p72-archimedes/P-72-Archimedes-Emerald
PTV,Transporter,Transporter / Passenger,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/ptv/PTV
Paladin,Gunship,Combat / Gunship,Combat,yes,LIST 1 - disagree,https://robertsspaceindustries.com/pledge/ships/paladin/Paladin
Perseus,Combat,Combat / Heavy Gunship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/perseus/Perseus
Pioneer,,Multi-role / Heavy Construction,Multi-role,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/pioneer/Pioneer
Pitbull,Snub Fighter,Combat / Snub Fighter,Combat,yes,LIST 1 - disagree,https://robertsspaceindustries.com/pledge/ships/pitbull/Pitbull
Polaris,Combat,Combat / Corvette,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/polaris/Polaris
Prospector,Industrial,Industrial / Light Mining,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/misc-prospector/Prospector
Prowler,Combat,Combat / Dropship,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/prowler/Prowler
Prowler Utility,Transporter,Transporter / Light Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/prowler/Prowler-Utility
Pulse,Combat,Combat / Pathfinder,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mirai-pulse/Pulse
Pulse LX,Combat,Combat / Racing,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/mirai-pulse/Pulse-LX
RAFT,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/raft/RAFT
RAPTOR,,,,,NO ROLES ROW - not joined,
ROC,Industrial,Industrial / Light Mining,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/roc/ROC
ROC-DS,Industrial,Industrial / Light Mining,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/roc/ROC-DS
Railen,Transporter,Transporter / Medium Freight,Transporter,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/railen/Railen
Ranger CV,,Ground / Touring,Ground,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/tumbril-ranger/Ranger-CV
Ranger RC,,Ground / Racing,Ground,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/tumbril-ranger/Ranger-RC
Ranger TR,,Ground / Combat,Ground,no,"LIST 2 - career empty, official role exists",https://robertsspaceindustries.com/pledge/ships/tumbril-ranger/Ranger-TR
Razor,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/razor/Razor
Razor EX,Combat,Combat / Stealth Fighter,Combat,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/razor/Razor-EX
Razor LX,Competition,Competition / Racing,Competition,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/razor/Razor-LX
Reclaimer,Industrial,Industrial / Heavy Salvage,Industrial,yes,LIST 3 - agree,https://robertsspaceindustries.com/pledge/ships/reclaimer/Reclaimer
