name,identifier,game_dim_a,game_dim_b,game_dim_c,game_source,fleetyards_length,fleetyards_beam,fleetyards_height,fleetyards_source,page_length,page_length_note,model_bbox_extent,model_bbox_note,conflict,gap
Aurora LN,RSI_Aurora_GS_LN,19,8.75,4.5,LOADOUT_SHIPS dim (game data),19,8.7,4.5,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",8.217 x 4.355 x 18.522,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Aurora LX,RSI_Aurora_GS_LX,19,8.75,4.5,LOADOUT_SHIPS dim (game data),19,8.7,4.5,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",8.244 x 3.733 x 18.536,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Aurora MR,RSI_Aurora_GS_MR,19,8.75,4.5,LOADOUT_SHIPS dim (game data),19,8.7,4.5,sc-ships/index.json (Fleetyards),19,"identical to game dim[0] - same source, not a second one",8.217 x 4.355 x 18.522,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Aurora Mk II,RSI_Aurora_Mk2,27.7,27.4,8,LOADOUT_SHIPS dim (game data),,,,,27.7,"identical to game dim[0] - same source, not a second one",19.866 x 7.226 x 27.5,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Aurora SE,RSI_Aurora_GS_SE,19,8.75,4.5,LOADOUT_SHIPS dim (game data),,,,,19,"identical to game dim[0] - same source, not a second one",18.5 x 3.908 x 8.223,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Avenger Stalker,AEGS_Avenger_Stalker,20,15,6.5,LOADOUT_SHIPS dim (game data),22.5,16.5,5.5,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",14.692 x 5.183 x 20.0,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 22.5 - recorded, not resolved",
Avenger Titan,AEGS_Avenger_Titan,20,15,6.5,LOADOUT_SHIPS dim (game data),22.5,16.5,5.5,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",13.995 x 5.404 x 19.518,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 22.5 - recorded, not resolved",
Avenger Titan Renegade,AEGS_Avenger_Titan_Renegade,20,15,6.5,LOADOUT_SHIPS dim (game data),22.5,16.5,5.5,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",13.995 x 5.404 x 19.518,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 22.5 - recorded, not resolved",
Avenger Warlock,AEGS_Avenger_Warlock,20,15,6.5,LOADOUT_SHIPS dim (game data),22.5,16.5,5.5,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",13.995 x 5.403 x 19.518,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 22.5 - recorded, not resolved",
Ballista,ANVL_Ballista,17,7,5.5,LOADOUT_SHIPS dim (game data),17,7,5.5,sc-ships/index.json (Fleetyards),17,"identical to game dim[0] - same source, not a second one",6.738 x 5.36 x 16.719,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Ballista Dunestalker,ANVL_Ballista_Dunestalker,17,7,5.5,LOADOUT_SHIPS dim (game data),,,,,17,"identical to game dim[0] - same source, not a second one",6.738 x 5.36 x 16.719,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Ballista Snowblind,ANVL_Ballista_Snowblind,17,7,5.5,LOADOUT_SHIPS dim (game data),,,,,17,"identical to game dim[0] - same source, not a second one",6.738 x 5.36 x 16.719,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Basher,GLSN_Basher,13.7,11.3,4.5,LOADOUT_SHIPS dim (game data),,,,,13.7,"identical to game dim[0] - same source, not a second one",16.75 x 5.399 x 13.824,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Blade,VNCL_Blade,20.5,16.5,5.5,LOADOUT_SHIPS dim (game data),21,21,5.5,sc-ships/index.json (Fleetyards),20.5,"identical to game dim[0] - same source, not a second one",20.599 x 6.033 x 19.979,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20.5 vs Fleetyards 21 - recorded, not resolved",
Buccaneer,DRAK_Buccaneer,16.75,15.25,5.5,LOADOUT_SHIPS dim (game data),15,16,4.5,sc-ships/index.json (Fleetyards),16.75,"identical to game dim[0] - same source, not a second one",15.907 x 3.735 x 14.583,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 16.75 vs Fleetyards 15 - recorded, not resolved",
C1 Spirit,CRUS_Spirit_C1,47.5,44,10,LOADOUT_SHIPS dim (game data),47.5,44,10,sc-ships/index.json (Fleetyards),47.5,"identical to game dim[0] - same source, not a second one",43.596 x 8.895 x 46.662,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
C2 Hercules Starlifter,CRUS_Starlifter_C2,94,70,23,LOADOUT_SHIPS dim (game data),,,,,94,"identical to game dim[0] - same source, not a second one",71.04 x 21.755 x 94.521,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
C8 Pisces,ANVL_C8_Pisces,16,12,8,LOADOUT_SHIPS dim (game data),12,10,3.2,sc-ships/index.json (Fleetyards),16,"identical to game dim[0] - same source, not a second one",10.223 x 3.001 x 12.364,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 16 vs Fleetyards 12 - recorded, not resolved",
C8R Pisces Rescue,ANVL_C8R_Pisces,16,12,8,LOADOUT_SHIPS dim (game data),,,,,16,"identical to game dim[0] - same source, not a second one",10.223 x 3.001 x 12.364,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
C8X Pisces Expedition,ANVL_C8X_Pisces_Expedition,16,12,8,LOADOUT_SHIPS dim (game data),13,10,3.2,sc-ships/index.json (Fleetyards),16,"identical to game dim[0] - same source, not a second one",10.223 x 3.001 x 12.364,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 16 vs Fleetyards 13 - recorded, not resolved",
CSV-FM,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
CSV-SM,ARGO_CSV_Cargo,8.75,6,3.5,LOADOUT_SHIPS dim (game data),5.4,4.1,2.8,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",4.138 x 2.902 x 6.075,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 5.4 - recorded, not resolved",
Carrack,ANVL_Carrack,126,74,30,LOADOUT_SHIPS dim (game data),126.5,76.5,30,sc-ships/index.json (Fleetyards),126,"identical to game dim[0] - same source, not a second one",76.275 x 36.169 x 125.575,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 126 vs Fleetyards 126.5 - recorded, not resolved",
Carrack Expedition,ANVL_Carrack_Expedition,126,74,30,LOADOUT_SHIPS dim (game data),126.5,76.5,30,sc-ships/index.json (Fleetyards),126,"identical to game dim[0] - same source, not a second one",76.275 x 36.169 x 125.575,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 126 vs Fleetyards 126.5 - recorded, not resolved",
Caterpillar,DRAK_Caterpillar,111.5,39.5,13.4,LOADOUT_SHIPS dim (game data),111.5,39,13.5,sc-ships/index.json (Fleetyards),111.5,"identical to game dim[0] - same source, not a second one",39.505 x 13.192 x 111.561,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Centurion,ANVL_Centurion,17,7,5.5,LOADOUT_SHIPS dim (game data),17,7,5.5,sc-ships/index.json (Fleetyards),17,"identical to game dim[0] - same source, not a second one",6.755 x 5.254 x 16.648,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Clipper,DRAK_Clipper,26.5,21,18,LOADOUT_SHIPS dim (game data),26.5,18,21,sc-ships/index.json (Fleetyards),26.5,"identical to game dim[0] - same source, not a second one",49.481 x 13.022 x 27.237,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Constellation Andromeda,RSI_Constellation_Andromeda,63.5,27.75,15.25,LOADOUT_SHIPS dim (game data),61,26,14,sc-ships/index.json (Fleetyards),63.5,"identical to game dim[0] - same source, not a second one",26.27 x 13.256 x 60.807,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 63.5 vs Fleetyards 61 - recorded, not resolved",
Constellation Aquila,RSI_Constellation_Aquila,63.5,27.75,15.25,LOADOUT_SHIPS dim (game data),61,26,14,sc-ships/index.json (Fleetyards),63.5,"identical to game dim[0] - same source, not a second one",26.497 x 13.238 x 60.902,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 63.5 vs Fleetyards 61 - recorded, not resolved",
Constellation Phoenix,RSI_Constellation_Phoenix,63.5,27.75,15.25,LOADOUT_SHIPS dim (game data),61,26,14,sc-ships/index.json (Fleetyards),63.5,"identical to game dim[0] - same source, not a second one",26.627 x 13.256 x 60.755,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 63.5 vs Fleetyards 61 - recorded, not resolved",
Constellation Phoenix Emerald,RSI_Constellation_Phoenix_Emerald,63.5,27.75,15.25,LOADOUT_SHIPS dim (game data),61,26,14,sc-ships/index.json (Fleetyards),63.5,"identical to game dim[0] - same source, not a second one",26.627 x 13.256 x 60.755,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 63.5 vs Fleetyards 61 - recorded, not resolved",
Constellation Taurus,RSI_Constellation_Taurus,70,27.75,15.25,LOADOUT_SHIPS dim (game data),61,26,14,sc-ships/index.json (Fleetyards),70,"identical to game dim[0] - same source, not a second one",26.271 x 13.255 x 58.913,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 70 vs Fleetyards 61 - recorded, not resolved",
Corsair,DRAK_Corsair,53,30,25,LOADOUT_SHIPS dim (game data),55,27,31,sc-ships/index.json (Fleetyards),53,"identical to game dim[0] - same source, not a second one",54.128 x 25.794 x 47.02,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 53 vs Fleetyards 55 - recorded, not resolved",
Crucible,(none),,,,,90,50,20,sc-ships/index.json (Fleetyards),,,,,,
Cutlass Black,DRAK_Cutlass_Black,37.5,26.5,11.5,LOADOUT_SHIPS dim (game data),29,26.5,10,sc-ships/index.json (Fleetyards),37.5,"identical to game dim[0] - same source, not a second one",26.146 x 10.236 x 35.717,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 37.5 vs Fleetyards 29 - recorded, not resolved",
Cutlass Blue,DRAK_Cutlass_Blue,37.5,26.5,11.5,LOADOUT_SHIPS dim (game data),36,26,14,sc-ships/index.json (Fleetyards),37.5,"identical to game dim[0] - same source, not a second one",26.127 x 10.233 x 35.738,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 37.5 vs Fleetyards 36 - recorded, not resolved",
Cutlass Red,DRAK_Cutlass_Red,37.5,26.5,11.5,LOADOUT_SHIPS dim (game data),36,26,14,sc-ships/index.json (Fleetyards),37.5,"identical to game dim[0] - same source, not a second one",26.128 x 9.989 x 36.058,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 37.5 vs Fleetyards 36 - recorded, not resolved",
Cutlass Steel,DRAK_Cutlass_Steel,37.5,26.5,11.5,LOADOUT_SHIPS dim (game data),36,26.5,14,sc-ships/index.json (Fleetyards),37.5,"identical to game dim[0] - same source, not a second one",26.146 x 10.236 x 35.717,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 37.5 vs Fleetyards 36 - recorded, not resolved",
Cutter,DRAK_Cutter,20,16,6,LOADOUT_SHIPS dim (game data),20,13,6,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",12.723 x 5.559 x 19.893,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Cutter Rambler,DRAK_Cutter_Rambler,20,16,6,LOADOUT_SHIPS dim (game data),20,13,6,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",12.723 x 6.528 x 19.71,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Cutter Scout,DRAK_Cutter_Scout,20,16,6,LOADOUT_SHIPS dim (game data),20,13,6,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",12.723 x 6.493 x 19.388,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Cyclone,TMBL_Cyclone,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,2.5,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.757 x 2.309 x 5.677,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Cyclone AA,TMBL_Cyclone_AA,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,2.5,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.2 x 2.576 x 5.686,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Cyclone MT,TMBL_Cyclone_MT,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,2.5,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.763 x 3.901 x 5.673,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Cyclone RC,TMBL_Cyclone_RC,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,2.5,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.2 x 2.255 x 5.686,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Cyclone RN,TMBL_Cyclone_RN,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,3,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.2 x 2.332 x 5.686,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Cyclone TR,TMBL_Cyclone_TR,8.75,6,3.5,LOADOUT_SHIPS dim (game data),6,4,2.5,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",3.2 x 2.793 x 5.686,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 6 - recorded, not resolved",
Defender,BANU_Defender,24.5,24.5,5,LOADOUT_SHIPS dim (game data),25.5,20,8,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",16.847 x 5.859 x 37.792,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 25.5 - recorded, not resolved",
Dragonfly,DRAK_Dragonfly,7,2.5,2,LOADOUT_SHIPS dim (game data),,,,,7,"identical to game dim[0] - same source, not a second one",2.273 x 1.362 x 6.485,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
E1 Spirit,(none),,,,,46.5,43.5,10,sc-ships/index.json (Fleetyards),,,,,,
Eclipse,AEGS_Eclipse,24.5,24.5,5,LOADOUT_SHIPS dim (game data),20.5,36.6,4.4,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",36.919 x 3.969 x 20.498,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 20.5 - recorded, not resolved",
Endeavor,(none),,,,,200,48,20,sc-ships/index.json (Fleetyards),,,,,,
Expanse,(none),,,,,35.5,21.2,10.7,sc-ships/index.json (Fleetyards),,,,,,
